t_ms,s1,s2,s1_norm,s2_norm,thr1,thr2,line1,line2
1826340,4095,4095,,,,,,
1826440,4095,4095,,,,,,
1826540,4095,4091,,,,,,
1826640,4095,4069,,,,,,
1826740,4095,4095,,,,,,
1826840,4095,4095,,,,,,
1826940,4095,4095,,,,,,
1827040,4095,4054,,,,,,
1827140,4095,4095,,,,,,
1827240,4063,4080,,,,,,
1827340,4095,4095,,,,,,
1827440,4095,4095,,,,,,
1827540,4095,4063,,,,,,
1827640,4095,4032,,,,,,
1827740,4095,4095,,,,,,
1827840,4095,4095,,,,,,
1827940,4095,4095,,,,,,
1828040,4095,4077,,,,,,
1828140,4095,4065,,,,,,
1828240,4095,4095,,,,,,
1828340,4095,4079,,,,,,
1828440,4095,4095,,,,,,
1828540,4091,4059,,,,,,
1828640,4095,4095,,,,,,
1828740,4095,4095,,,,,,
1828840,4095,4016,,,,,,
1828940,4095,4095,,,,,,
1829040,4095,4095,,,,,,
1829140,4095,4095,,,,,,
1829240,4095,4067,,,,,,
1829340,4095,4095,,,,,,
1829440,4095,4095,,,,,,
1829540,4095,4093,,,,,,
1829640,3337,3359,,,,,,
1829740,1984,2096,,,,,,
1829840,1080,629,,,,,,
1829940,488,93,,,,,,
1830040,129,43,,,,,,
1830140,123,91,,,,,,
1830240,162,0,,,,,,
1830340,67,72,,,,,,
1830440,104,58,,,,,,
1830540,99,41,,,,,,
1830640,82,62,,,,,,
1830740,92,42,,,,,,
1830840,80,58,,,,,,
1830940,113,48,,,,,,
1831040,82,67,,,,,,
1831140,81,48,,,,,,
1831240,74,34,,,,,,
1831340,96,64,,,,,,
1831440,67,0,,,,,,
1831540,56,59,,,,,,
1831640,49,46,,,,,,
1831740,70,30,,,,,,
1831840,64,19,,,,,,
1831940,78,44,,,,,,
1832040,2297,2616,,,,,,
1832140,4095,4084,,,,,,
1832240,4095,4095,,,,,,
1832340,4095,4095,,,,,,
1832440,4095,4095,,,,,,
1832540,4095,4095,,,,,,
1832640,4095,4032,,,,,,
1832740,4095,4095,,,,,,
1832840,4095,4071,,,,,,
1832940,4095,4095,,,,,,
1833040,4095,4095,,,,,,
1833140,4095,4095,,,,,,
1833240,4080,4092,,,,,,
1833340,4095,4095,,,,,,
1833440,4095,4095,,,,,,
1833540,4095,4059,,,,,,
1833640,806,98,,,,,,
1833740,1681,1456,,,,,,
1833840,592,79,,,,,,
1833940,398,70,,,,,,
1834040,326,135,,,,,,
1834140,243,59,,,,,,
1834240,295,74,,,,,,
1834340,431,90,,,,,,
1834440,450,72,,,,,,
1834540,320,38,,,,,,
1834640,264,48,,,,,,
1834740,342,98,,,,,,
1834840,234,61,,,,,,
1834940,227,47,,,,,,
1835040,152,58,,,,,,
1835140,187,40,,,,,,
1835240,170,64,,,,,,
1835340,129,27,,,,,,
1835440,163,43,,,,,,
1835540,144,28,,,,,,
1835640,169,64,,,,,,
1835740,158,65,,,,,,
1835840,174,42,,,,,,
1835940,171,64,,,,,,
1836040,123,66,,,,,,
1836140,152,50,,,,,,
1836240,138,58,,,,,,
1836340,131,48,,,,,,
1836440,129,40,,,,,,
1836540,145,50,,,,,,
1836640,138,59,,,,,,
1836740,157,27,,,,,,
1836840,147,47,,,,,,
1836940,139,67,,,,,,
1837040,128,64,,,,,,
1837140,95,35,,,,,,
1837240,158,46,,,,,,
1837340,135,31,,,,,,
1837440,112,41,,,,,,
1837540,122,32,,,,,,
1837640,121,58,,,,,,
1837740,94,55,,,,,,
1837840,122,43,,,,,,
1837940,110,71,,,,,,
1838040,110,38,,,,,,
1838140,70,44,,,,,,
1838240,106,43,,,,,,
1838340,105,35,,,,,,
1838440,80,22,,,,,,
1838540,103,35,,,,,,
1838640,826,91,,,,,,
1838740,4095,4010,,,,,,
1838840,4095,4037,,,,,,
1838940,4095,4095,,,,,,
1839040,4095,4059,,,,,,
1839140,4095,4095,,,,,,
1839240,4095,4095,,,,,,
1839340,4095,4095,,,,,,
1839440,4095,4095,,,,,,
1839540,4095,4095,,,,,,
1839640,4095,4095,,,,,,
1839740,4095,4095,,,,,,
1839840,4095,4095,,,,,,
1839940,4095,4095,,,,,,
1840040,4095,4080,,,,,,
1840140,4095,4083,,,,,,
1840240,4095,4095,,,,,,
1840340,4095,4095,,,,,,
1840440,4095,4063,,,,,,
1840540,4091,4095,,,,,,
1840640,4095,4095,,,,,,
1840740,4095,4026,,,,,,
1840840,4095,4095,,,,,,
1840940,4095,4046,,,,,,
1841040,4095,4095,,,,,,
1841140,4095,4095,,,,,,
1841240,4095,4095,,,,,,
1841340,4095,4084,,,,,,
1841440,4095,4095,,,,,,
1841540,4095,4045,,,,,,
1841640,4083,4095,,,,,,
1841740,4095,4095,,,,,,
1841840,4095,4095,,,,,,
1841940,4095,4055,,,,,,
1842040,4095,4095,,,,,,
1842140,4095,4095,,,,,,
1842240,4095,4080,,,,,,
1842340,4095,4095,,,,,,
1842440,4095,4095,,,,,,
1842540,4095,4066,,,,,,
1842640,4095,4095,,,,,,
1842740,4095,4095,,,,,,
1842840,4095,4068,,,,,,
1842940,4095,4095,,,,,,
1843040,4095,4095,,,,,,
1843140,4095,4048,,,,,,
1843240,4095,4095,,,,,,
1843340,4095,4055,,,,,,
1843440,4095,4095,,,,,,
1843540,4095,4066,,,,,,
1843640,4095,4080,,,,,,
1843740,4095,4095,,,,,,
1843840,4095,4062,,,,,,
1843940,4095,4061,,,,,,
1844040,3925,4060,,,,,,
1844140,4095,4095,,,,,,
1844240,4095,4095,,,,,,
1844340,4095,4093,,,,,,
1844440,4095,4067,,,,,,
1844540,4095,4095,,,,,,
1844640,4095,4095,,,,,,
1844740,4095,4095,,,,,,
1844840,4095,4066,,,,,,
1844940,4095,4095,,,,,,
1845040,4095,4089,,,,,,
1845140,4095,4095,,,,,,
1845240,4095,4095,,,,,,
1845340,4095,4080,,,,,,
1845440,4095,4091,,,,,,
1845540,4095,4095,,,,,,
1845640,4095,4095,,,,,,
1845740,4095,4095,,,,,,
1845840,4095,4095,,,,,,
1845940,4095,4095,,,,,,
1846040,4095,4065,,,,,,
1846140,4095,4041,,,,,,
1846240,3650,3631,,,,,,
1846340,2634,2651,,,,,,
1846440,495,162,,,,,,
1846540,179,115,,,,,,
1846640,130,105,,,,,,
1846740,94,50,,,,,,
1846840,47,49,,,,,,
1846940,34,41,,,,,,
1847040,15,23,,,,,,
1847140,70,22,,,,,,
1847240,34,3,,,,,,
1847340,13,0,,,,,,
1847440,0,0,,,,,,
1847540,10,0,,,,,,
1847640,0,0,,,,,,
1847740,26,0,,,,,,
1847840,0,0,,,,,,
1847940,14,0,,,,,,
1848040,0,0,,,,,,
1848140,0,0,,,,,,
1848240,0,8,,,,,,
1848340,0,0,,,,,,
1848440,0,0,,,,,,
1848540,11,10,,,,,,
1848640,0,0,,,,,,
1848740,0,0,,,,,,
1848840,0,0,,,,,,
1848940,114,0,,,,,,
1849040,0,0,,,,,,
1849140,0,0,,,,,,
1849240,0,0,,,,,,
1849340,0,0,,,,,,
1849440,0,18,,,,,,
1849540,0,0,,,,,,
1849640,0,0,,,,,,
1849740,0,0,,,,,,
1849840,0,0,,,,,,
1849940,0,0,,,,,,
1850040,0,0,,,,,,
1850140,0,0,,,,,,
1850240,2,0,,,,,,
1850340,0,0,,,,,,
1850440,0,0,,,,,,
1850540,3,0,,,,,,
1850640,0,0,,,,,,
1850740,7,0,,,,,,
1850840,34,0,,,,,,
1850940,0,70,,,,,,
1851040,0,0,,,,,,
1851140,0,4,,,,,,
1851240,0,0,,,,,,
1851340,0,0,,,,,,
1851440,8,0,,,,,,
1851540,7,0,,,,,,
1851640,0,0,,,,,,
1851740,0,0,,,,,,
1851840,0,8,,,,,,
1851940,14,0,,,,,,
1852040,0,0,,,,,,
1852140,0,0,,,,,,
1852240,0,0,,,,,,
1852340,0,0,,,,,,
1852440,0,0,,,,,,
1852540,23,0,,,,,,
1852640,0,0,,,,,,
1852740,0,0,,,,,,
1852840,0,0,,,,,,
1852940,0,0,,,,,,
1853040,0,0,,,,,,
1853140,11,0,,,,,,
1853240,0,0,,,,,,
1853340,0,0,,,,,,
1853440,2,11,,,,,,
1853540,10,0,,,,,,
1853640,0,0,,,,,,
1853740,0,0,,,,,,
1853840,0,0,,,,,,
1853940,0,0,,,,,,
1854040,14,0,,,,,,
1854140,14,0,,,,,,
1854240,0,0,,,,,,
1854340,0,2,,,,,,
1854440,0,0,,,,,,
1854540,2,10,,,,,,
1854640,10,0,,,,,,
1854740,0,10,,,,,,
1854840,0,0,,,,,,
1854940,0,10,,,,,,
1855040,0,0,,,,,,
1855140,0,0,,,,,,
1855240,0,0,,,,,,
1855340,0,9,,,,,,
1855440,8,0,,,,,,
1855540,0,0,,,,,,
1855640,0,14,,,,,,
1855740,0,10,,,,,,
1855840,0,0,,,,,,
1855940,0,0,,,,,,
1856040,0,0,,,,,,
1856140,0,0,,,,,,
1856240,6,0,,,,,,
1856340,0,0,,,,,,
1856440,0,15,,,,,,
1856540,3,0,,,,,,
1856640,0,0,,,,,,
1856740,0,0,,,,,,
1856840,0,0,,,,,,
1856940,0,2,,,,,,
1857040,0,0,,,,,,
1857140,0,0,,,,,,
1857240,16,0,,,,,,
1857340,0,0,,,,,,
1857440,0,0,,,,,,
1857540,2,0,,,,,,
1857640,3,2,,,,,,
1857740,0,0,,,,,,
1857840,0,0,,,,,,
1857940,0,0,,,,,,
1858040,2,0,,,,,,
1858140,19,0,,,,,,
1858240,0,0,,,,,,
1858340,0,2,,,,,,
1858440,0,0,,,,,,
1858540,0,0,,,,,,
1858640,0,0,,,,,,
1858740,0,0,,,,,,
1858840,0,0,,,,,,
1858940,0,0,,,,,,
1859040,0,0,,,,,,
1859140,48,0,,,,,,
1859240,0,0,,,,,,
1859340,0,11,,,,,,
1859440,0,0,,,,,,
1859540,0,0,,,,,,
1859640,0,0,,,,,,
1859740,0,0,,,,,,
1859840,2,0,,,,,,
1859940,0,0,,,,,,
1860040,0,0,,,,,,
1860140,0,0,,,,,,
1860240,0,0,,,,,,
1860340,0,0,,,,,,
1860440,0,0,,,,,,
1860540,0,0,,,,,,
1860640,0,16,,,,,,
1860740,0,0,,,,,,
1860840,2,0,,,,,,
1860940,0,0,,,,,,
1861040,0,0,,,,,,
1861140,0,0,,,,,,
1861240,0,0,,,,,,
1861340,0,0,,,,,,
1861440,0,0,,,,,,
1861540,0,0,,,,,,
1861640,0,2,,,,,,
1861740,0,0,,,,,,
1861840,0,0,,,,,,
1861940,0,0,,,,,,
1862040,2,0,,,,,,
1862140,1,0,,,,,,
1862240,0,0,,,,,,
1862340,0,0,,,,,,
1862440,0,0,,,,,,
1862540,0,0,,,,,,
1862640,6,40,,,,,,
1862740,0,0,,,,,,
1862840,0,0,,,,,,
1862940,0,0,,,,,,
1863040,0,27,,,,,,
1863140,11,0,,,,,,
1863240,0,2,,,,,,
1863340,0,24,,,,,,
1863440,0,0,,,,,,
1863540,2,0,,,,,,
1863640,0,0,,,,,,
1863740,0,0,,,,,,
1863840,0,2,,,,,,
1863940,14,0,,,,,,
1864040,0,0,,,,,,
1864140,0,0,,,,,,
1864240,2,0,,,,,,
1864340,0,16,,,,,,
1864440,0,0,,,,,,
1864540,0,0,,,,,,
1864640,0,0,,,,,,
1864740,0,0,,,,,,
1864840,0,0,,,,,,
1864940,0,0,,,,,,
1865040,0,0,,,,,,
1865140,0,0,,,,,,
1865240,0,0,,,,,,
1865340,0,0,,,,,,
1865440,0,5,,,,,,
1865540,0,6,,,,,,
1865640,0,0,,,,,,
1865740,6,0,,,,,,
1865840,0,7,,,,,,
1865940,51,33,,,,,,
1866040,4016,4016,,,,,,
1866140,4095,4095,,,,,,
1866240,4095,4095,,,,,,
1866340,4095,4095,,,,,,
1866440,4095,4095,,,,,,
1866540,4095,4074,,,,,,
1866640,4095,4031,,,,,,
1866740,4095,4095,,,,,,
1866840,4095,4095,,,,,,
1866940,4016,3930,,,,,,
1867040,4095,3999,,,,,,
1867140,4091,4031,,,,,,
1867240,4095,4095,,,,,,
1867340,4076,4080,,,,,,
1867440,4095,4054,,,,,,
1867540,4095,4095,,,,,,
1867640,4095,4095,,,,,,
1867740,4095,4095,,,,,,
1867840,4095,4057,,,,,,
1867940,4095,3861,,,,,,
1868040,4095,4095,,,,,,
1868140,4095,4095,,,,,,
1868240,4095,4095,,,,,,
1868340,4095,4095,,,,,,
1868440,4095,4095,,,,,,
1868540,4095,4095,,,,,,
1868640,4095,4095,,,,,,
1868740,4095,4095,,,,,,
1868840,4095,4095,,,,,,
1868940,4095,4095,,,,,,
1869040,4095,4095,,,,,,
1869140,4095,4095,,,,,,
1869240,4095,4095,,,,,,
1869340,4095,4095,,,,,,
1869440,4095,4014,,,,,,
1869540,4095,4039,,,,,,
1869640,4095,4075,,,,,,
1869740,4095,4095,,,,,,
1869840,4095,4080,,,,,,
1869940,4095,4091,,,,,,
1870040,4095,4038,,,,,,
1870140,4095,4095,,,,,,
1870240,4095,4016,,,,,,
1870340,3994,4015,,,,,,
1870440,3995,3952,,,,,,
1870540,4011,3915,,,,,,
1870640,3869,3874,,,,,,
1870740,3935,3774,,,,,,
1870840,3994,3834,,,,,,
1870940,3973,3827,,,,,,
1871040,3590,3626,,,,,,
1871140,3479,3308,,,,,,
1871240,3337,3201,,,,,,
1871340,3267,3136,,,,,,
1871440,3280,3071,,,,,,
1871540,3193,2960,,,,,,
1871640,3102,2879,,,,,,
1871740,3049,2770,,,,,,
1871840,2911,2643,,,,,,
1871940,2832,2525,,,,,,
1872040,2747,2328,,,,,,
1872140,2397,2046,,,,,,
1872240,1942,1805,,,,,,
1872340,2295,2062,,,,,,
1872440,2192,1942,,,,,,
1872540,2128,1939,,,,,,
1872640,1962,1793,,,,,,
1872740,1818,1646,,,,,,
1872840,1814,1703,,,,,,
1872940,1603,1680,,,,,,
1873040,1488,1569,,,,,,
1873140,1218,1310,,,,,,
1873240,970,1122,,,,,,
1873340,602,719,,,,,,
1873440,290,497,,,,,,
1873540,275,463,,,,,,
1873640,478,534,,,,,,
1873740,650,659,,,,,,
1873840,746,734,,,,,,
1873940,594,667,,,,,,
1874040,575,618,,,,,,
1874140,687,770,,,,,,
1874240,611,699,,,,,,
1874340,682,674,,,,,,
1874440,594,634,,,,,,
1874540,1110,877,,,,,,
1874640,1023,891,,,,,,
1874740,886,798,,,,,,
1874840,829,786,,,,,,
1874940,912,827,,,,,,
1875040,971,832,,,,,,
1875140,944,790,,,,,,
1875240,960,834,,,,,,
1875340,954,819,,,,,,
1875440,1003,848,,,,,,
1875540,1107,942,,,,,,
1875640,1058,898,,,,,,
1875740,1039,874,,,,,,
1875840,950,790,,,,,,
1875940,978,798,,,,,,
1876040,962,819,,,,,,
1876140,931,754,,,,,,
1876240,914,782,,,,,,
1876340,910,795,,,,,,
1876440,995,838,,,,,,
1876540,1074,898,,,,,,
1876640,1042,875,,,,,,
1876740,979,800,,,,,,
1876840,912,784,,,,,,
1876940,831,735,,,,,,
1877040,886,722,,,,,,
1877140,841,729,,,,,,
1877240,856,818,,,,,,
1877340,889,754,,,,,,
1877440,894,802,,,,,,
1877540,822,803,,,,,,
1877640,891,802,,,,,,
1877740,850,776,,,,,,
1877840,824,795,,,,,,
1877940,890,771,,,,,,
1878040,823,763,,,,,,
1878140,925,806,,,,,,
1878240,943,854,,,,,,
1878340,930,816,,,,,,
1878440,899,830,,,,,,
1878540,945,825,,,,,,
1878640,842,762,,,,,,
1878740,955,862,,,,,,
1878840,923,835,,,,,,
1878940,902,784,,,,,,
1879040,898,806,,,,,,
1879140,881,786,,,,,,
1879240,834,759,,,,,,
1879340,783,752,,,,,,
1879440,832,778,,,,,,
1879540,862,791,,,,,,
1879640,872,771,,,,,,
1879740,866,796,,,,,,
1879840,831,789,,,,,,
1879940,857,803,,,,,,
1880040,867,755,,,,,,
1880140,835,817,,,,,,
1880240,845,790,,,,,,
1880340,872,792,,,,,,
1880440,882,770,,,,,,
1880540,783,784,,,,,,
1880640,822,785,,,,,,
1880740,847,774,,,,,,
1880840,880,779,,,,,,
1880940,895,787,,,,,,
1881040,863,832,,,,,,
1881140,926,800,,,,,,
1881240,875,803,,,,,,
1881340,923,843,,,,,,
1881440,912,843,,,,,,
1881540,938,816,,,,,,
1881640,929,776,,,,,,
1881740,944,837,,,,,,
1881840,938,814,,,,,,
1881940,946,816,,,,,,
1882040,941,820,,,,,,
1882140,1040,818,,,,,,
1882240,923,846,,,,,,
1882340,912,698,,,,,,
1882440,882,834,,,,,,
1882540,884,837,,,,,,
1882640,880,815,,,,,,
1882740,875,808,,,,,,
1882840,872,795,,,,,,
1882940,872,818,,,,,,
1883040,840,778,,,,,,
1883140,880,783,,,,,,
1883240,879,802,,,,,,
1883340,885,869,,,,,,
1883440,874,818,,,,,,
1883540,878,850,,,,,,
1883640,899,835,,,,,,
1883740,911,810,,,,,,
1883840,880,834,,,,,,
1883940,870,831,,,,,,
1884040,922,859,,,,,,
1884140,902,855,,,,,,
1884240,900,858,,,,,,
1884340,911,829,,,,,,
1884440,880,830,,,,,,
1884540,843,848,,,,,,
1884640,887,835,,,,,,
1884740,880,800,,,,,,
1884840,822,779,,,,,,
1884940,888,846,,,,,,
1885040,880,841,,,,,,
1885140,900,864,,,,,,
1885240,882,771,,,,,,
1885340,880,841,,,,,,
1885440,907,874,,,,,,
1885540,912,793,,,,,,
1885640,878,820,,,,,,
1885740,866,826,,,,,,
1885840,848,826,,,,,,
1885940,878,815,,,,,,
1886040,884,818,,,,,,
1886140,863,810,,,,,,
1886240,850,800,,,,,,
1886340,858,841,,,,,,
1886440,825,816,,,,,,
1886540,848,859,0.0,0.0,412.5,409.0,1,1
1886640,849,847,0.0,0.0,412.5,409.0,1,1
1886740,874,880,0.0,0.0,412.5,409.0,1,1
1886840,832,832,0.0,0.0,412.5,409.0,1,1
1886940,808,822,0.0206,0.0,412.5,409.0,1,1
1887040,846,803,0.0,0.016,412.5,409.0,1,1
1887140,850,835,0.0,0.0,412.5,409.0,1,1
1887240,832,794,0.0,0.027,412.5,409.0,1,1
1887340,829,826,0.0,0.0,412.5,409.0,1,1
1887440,843,828,0.0,0.0,412.5,409.0,1,1
1887540,891,848,0.0,0.0,412.5,409.0,1,1
1887640,862,836,0.0,0.0,412.5,409.0,1,1
1887740,834,811,0.0,0.0061,412.5,409.0,1,1
1887840,843,814,0.0,0.0025,412.5,409.0,1,1
1887940,806,826,0.023,0.0,412.5,409.0,1,1
1888040,832,818,0.0,0.0,412.5,409.0,1,1
1888140,816,854,0.0109,0.0,412.5,409.0,1,1
1888240,730,816,0.1152,0.0,412.5,409.0,1,1
1888340,796,814,0.0352,0.0025,412.5,409.0,1,1
1888440,812,786,0.0158,0.0369,412.5,409.0,1,1
1888540,746,825,0.0958,0.0,412.5,409.0,1,1
1888640,831,816,0.0,0.0,412.5,409.0,1,1
1888740,778,830,0.057,0.0,412.5,409.0,1,1
1888840,835,802,0.0,0.0172,412.5,409.0,1,1
1888940,756,784,0.0836,0.0393,412.5,409.0,1,1
1889040,820,816,0.0061,0.0,412.5,409.0,1,1
1889140,834,827,0.0,0.0,412.5,409.0,1,1
1889240,835,831,0.0,0.0,412.5,409.0,1,1
1889340,787,800,0.0461,0.0197,412.5,409.0,1,1
1889440,824,822,0.0012,0.0,412.5,409.0,1,1
1889540,837,802,0.0,0.0172,412.5,409.0,1,1
1889640,785,784,0.0485,0.0393,412.5,409.0,1,1
1889740,811,784,0.017,0.0393,412.5,409.0,1,1
1889840,811,777,0.017,0.0479,412.5,409.0,1,1
1889940,816,767,0.0109,0.0602,412.5,409.0,1,1
1890040,784,819,0.0497,0.0,412.5,409.0,1,1
1890140,779,774,0.0558,0.0516,412.5,409.0,1,1
1890240,1136,858,0.0,0.0,412.5,409.0,1,1
1890340,3493,3462,0.0,0.0,412.5,409.0,1,1
1890440,4048,4037,0.0,0.0,412.5,409.0,1,1
1890540,4095,4038,0.0,0.0,412.5,409.0,1,1
1890640,4095,4095,0.0,0.0,412.5,409.0,1,1
